condition,r_1,r_2,r_3,w_cvw_1,w_cvw_2,w_cvw_3,mae_cvw,cvw_ci_lo,cvw_ci_hi,mae_equal,eq_ci_lo,eq_ci_hi,advantage_abs,advantage_pct
Uniform validity,0.7,0.7,0.7,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4179437129026499,0.4101457392941888,0.4260367312068874,0.4179437129026499,0.4100492832151604,0.4253833107818329,0.0,0.0
Moderate differential,0.75,0.65,0.55,0.38461538461538464,0.33333333333333337,0.2820512820512821,0.4550323396450019,0.4470283457882077,0.46346645807801007,0.46711409722534164,0.45839979395452607,0.47543411657154827,0.012081757580339747,2.58646819954812
High differential,0.8,0.6,0.4,0.44444444444444453,0.33333333333333337,0.22222222222222227,0.46703173322859964,0.45824340046936785,0.4760958425853639,0.5111621526666075,0.5013781232684394,0.5204725723750534,0.04413041943800783,8.633350338594175
